"Gene","mean","variance","variance.expected","variance.standardized"
"ITGB1BP2",0.00714285714285714,0.0253848038215,0.0262562625852872,0.966809489318733
"CSPP1",0.182285714285714,0.766419466786428,0.792749198696293,0.966786807286385
"ZC3H6",0.24,1.021549014004,1.05667976016061,0.966753649041908
"AL139317.5",0.0191428571428571,0.0747977789572531,0.0773707521351971,0.966744886059166
"ATP2B4",0.389714285714286,1.70975413383416,1.76857443032151,0.966741407385009
"SEPSECS-AS1",0.0817142857142857,0.336847589107092,0.348438549116736,0.96673456470581
"KIAA0040",0.286857142857143,1.23177920222104,1.27421003239279,0.966700285594149
"NSUN5",0.365142857142857,1.59341166864001,1.64834935531875,0.966671090384168
"NUP210",0.670285714285714,3.105318580819,3.21266886894046,0.9665853243827
"MBTPS1",0.819428571428571,3.89536406320173,4.03008293897731,0.966571686534624
"DDX59",0.16,0.669448413832523,0.692614211615544,0.966553100709578
"EXOC6",0.245142857142857,1.04420332339852,1.08033834132562,0.966552128583386
"CBR1",0.218,0.923882823663904,0.955873609988257,0.966532409734855
"MED17",0.807142857142857,3.82818560405015,3.96074758918266,0.966531069666092
"TMEM237",0.0225714285714286,0.088944514759319,0.0920258709959558,0.96651641322936
"ACSL4",0.320285714285714,1.38381243620626,1.43179583845858,0.966487259591438
"FARP1",0.032,0.127583881108888,0.132007937374007,0.966486437458796
"VIL1",0.032,0.127583881108888,0.132007937374007,0.966486437458796
"PNPLA7",0.0357142857142857,0.143051075817581,0.148020566573067,0.966427025172661
"SMYD4",0.162857142857143,0.681672314538847,0.705361486434619,0.966415558048805
"ANKRD28",0.308,1.32722949414119,1.37335749783327,0.966412238790802
"SLC25A23",0.0894285714285714,0.368965092067121,0.381801101733751,0.966380375519238
"ZNF606",0.100857142857143,0.417089862409668,0.431615509924609,0.966345862970777
"DCP1A",0.716285714285714,3.34303278487729,3.45951054730154,0.96633114400675
"ZNF91",0.507142857142857,2.28031478381578,2.35979611175762,0.966318561359676
"DHX33",0.124,0.515056873392398,0.533018822807765,0.966301472580744
"TPCN1",0.212285714285714,0.898334299595802,0.929663661601467,0.966300326344159
"SPART",0.224857142857143,0.953997550320501,0.987278835765661,0.966289882615229
"MIA3",0.704571428571429,3.28165957620544,3.39629763254133,0.966246168993711
"HSD17B8",0.170857142857143,0.716155309680315,0.741182632068727,0.966233258436511
"BRD8",0.0848571428571429,0.349756338545707,0.361979524646311,0.966232382584215
"BTBD8",0.0334285714285714,0.133492099783612,0.138159174587367,0.966219581018096
"CREB3L4",0.0371428571428571,0.148948679214469,0.154194555014803,0.965978851848371
"NDUFS8",1.15571428571429,5.81998734332257,6.02497340020107,0.965977267738371
"SLC6A12",0.0108571428571429,0.0404651124811171,0.0418903970750711,0.965975863360764
"RHNO1",0.179714285714286,0.754489772588086,0.781109121078488,0.965921088651931
"ZNF677",0.103428571428571,0.427710447883069,0.442808348898056,0.9659042087789
"DDX54",0.428,1.89221377536439,1.95904743530229,0.96588461374975
"ZFP91",0.897714285714286,4.32391589433717,4.47676715262599,0.965856777206032
"CFAP44",0.0557142857142857,0.227532356183399,0.235578807714198,0.965843907570158
"SAP30",0.151428571428571,0.632107132650145,0.654473266388256,0.965825748908678
"LINC00685",0.0928571428571429,0.38320132282693,0.39677545601063,0.965788878878293
"CCDC51",0.0297142857142857,0.118007920630384,0.122188522151596,0.96578564461214
"CACNA2D3",0.054,0.220289797084881,0.228094453214651,0.965783226993141
"ZFR",0.827714285714286,3.93744261625772,4.07695377743225,0.965780538904615
"ICE1",0.509714285714286,2.29170326215653,2.37292330906958,0.965772156814927
"GMDS-DT",0.122285714285714,0.507476911770709,0.525467606340248,0.9657625049528
"RAD51D",0.113428571428571,0.469839627648716,0.486503647121972,0.96574739044232
"VIPR1",0.168,0.703405544441269,0.728364973802664,0.965732249271834
"LINC02062",0.00657142857142857,0.0231062752623198,0.023927334430116,0.965685305640952
"ACY3",0.00657142857142857,0.0231062752623198,0.023927334430116,0.965685305640952
"XPNPEP2",0.00657142857142857,0.0231062752623198,0.023927334430116,0.965685305640952
"AL162426.1",0.00885714285714286,0.0322164700118401,0.0333612995771519,0.965683903810035
"PRDX6",2.33971428571429,14.2163703098845,14.7218446031891,0.965665016380153
"LINC01422",0.0231428571428571,0.0912047523782305,0.0944480406136393,0.965660608580794
"MUS81",0.130285714285714,0.541466051524925,0.560742543116745,0.965623276085537
"ZBED5-AS1",0.116571428571429,0.483120565059404,0.500320593637036,0.965621985590084
"AHCTF1",0.357142857142857,1.55403584697669,1.60943442734064,0.965578852158959
"CDC5L",0.700285714285714,3.2571019474952,3.37323590803768,0.965571942280779
"ZNF81",0.0325714285714286,0.129833340137999,0.134467221119622,0.96553895482453
"SMKR1",0.0385714285714286,0.154842199812191,0.160375649808774,0.965496944185847
"BRK1",2.62685714285714,16.6055088392602,17.1989565287741,0.965495134049501
"FTSJ1",0.125428571428571,0.520702159800759,0.539314471544085,0.965488944344404
"SCRIB",0.0888571428571429,0.366209039317356,0.379312089991992,0.965455752610173
"OSBPL3",0.108,0.446749356959131,0.4627378773343,0.96544799732567
"CLEC2B",2.13085714285714,12.5493190707548,12.9985370537085,0.965440881454782
"B4GALT1-AS1",0.0128571428571429,0.0487057526640265,0.0504499597764642,0.965426987054775
"KLHL29",0.0128571428571429,0.0487057526640265,0.0504499597764642,0.965426987054775
"IFNAR2",0.563714285714286,2.5592431306904,2.65090946448177,0.965420798024394
"YEATS2",0.101142857142857,0.417889519454538,0.432858866786784,0.965417487128384
"NCR1",0.0477142857142857,0.193492916343445,0.200436501572601,0.965357680987856
"C5orf56",0.507142857142857,2.2780284162822,2.35979611175762,0.965349677852245
"AUP1",0.943428571428571,4.57753611235865,4.74195487395634,0.965326797498485
"CD27-AS1",0.0674285714285714,0.27667529498224,0.286615743366495,0.965317856348371
"DCTN1",0.418,1.84265961703344,1.90894597196106,0.965275939758771
"ITGB1BP1",0.584,2.66084709917119,2.75664075708713,0.965249857940443
"RPS6KA1",0.618857142857143,2.83782664434736,2.94005601634569,0.965228767264985
